FID,Code,DRANAREA,AREA,VOL,STRRATIO,MEANDPTH,MAXDPTH,FLUC,SHRDEV,relfluc,lat,lon,NAME
0,R4025,408,7000,79000,0.32,11,35,12,10.2,1.090909091,33.05,-93.51666667,Red River
1,R4041,4144,29500,199000,0.04,7,46,25,2.7,3.571428571,33.68333333,-93.95,Red River
2,R4064,273,1370,33030,0.1,24,70,30,6.9,1.25,34.16666667,-94.16666667,Red River
3,R18003,1410,17200,120400,0.11,7,30,2,2.9,0.285714286,32.31666667,-93.43333333,Red River
4,R18004,231,3960,17000,0.1,4,15,1,3.9,0.25,32.58333333,-93.05,Red River
5,R18005,1377,13800,161000,0.18,11,20,3,3.1,0.272727273,31.85,-92.96666667,Red River
6,R18008,34,1044,12000,0.1,11,25,2,15.5,0.181818182,31.56666667,-92.96666667,Red River
7,R18014,242,5050,14000,0.06,3,9,2,3.6,0.666666667,31.55,-92.65,Red River
8,R18015,55,520,3120,0.08,6,25,3,4,0.5,32.81666667,-93.48333333,Red River
9,R18016,46,1926,16800,0.4,9,28,4,2.5,0.444444444,32.31666667,-93.16666667,Red River
10,R18018,421,8960,61000,0.2,7,12,2,3,0.285714286,31.85,-92.93333333,Red River
11,R36001,2116,6575,143000,1.4,21,79,16,4.3,0.761904762,34.88333333,-99.28333333,Red River
12,R36011,28,880,14000,2.1,16,50,5,5,0.3125,34.58333333,-97.9,Red River
13,R36013,54,5000,153000,2,11,75,5,10,0.454545455,34.03333333,-97.06666667,Red River
14,R36018,39719,89000,2733000,0.79,31,115,10,13.9,0.322580645,33.81666667,-96.56666667,Red River
15,R36023,754,14200,918000,0.98,65,180,10,10.8,0.153846154,34.13333333,-94.68333333,Red River
16,R36028,246,5600,94000,1.9,17,54,7,3.1,0.411764706,34.78333333,-98.36666667,Red River
17,R36030,304,4070,80000,2.59,20,53,3,5.2,0.15,35.15,-98.45,Red River
18,R36031,1496,8800,256000,3.77,29,81,10,4.8,0.344827586,35.53333333,-99.16666667,Red River
19,R36032,376,1500,17600,6.4,12,42,5,3.5,0.416666667,34.75,-98.08333333,Red River
20,R36037,93,2400,62400,0.8,26,80,8,2.3,0.307692308,34.73333333,-98.5,Red River
21,R36043,635,3800,54000,0.08,14,70,20,8.6,1.428571429,34.11666667,-95.08333333,Red River
22,R36050,17,560,6000,1.9,11,31,3,3.3,0.272727273,34.5,-98,Red River
23,R43001,2100,3420,37620,0.5,11,35,10,2,0.909090909,33.78333333,-98.96666667,Red River
24,R43003,2744,32500,187000,0.1,6,28,4,5.2,0.666666667,32.66666667,-94.16666667,Red River
25,R43015,822,16200,171040,0.24,16,42,6,5.5,0.375,33.75,-98.36666667,Red River
26,R43046,850,19780,255000,0.44,13,30,5,7.3,0.384615385,32.75,-94.48333333,Red River
27,R43079,75,3425,72800,2,21,58,5,4.2,0.238095238,33.05,-95.13333333,Red River
28,R43093,494,1340,14200,1.8,11,27,6,1.6,0.545454545,33.16666667,-95.5,Red River
29,R43095,65,1125,23200,1.34,24,68,5,3.4,0.208333333,33.76666667,-97.2,Red River
30,R43096,3443,20300,145300,0.19,7,25,8,5.1,1.142857143,33.3,-94.15,Red River
31,R43097,36,2000,40100,1.58,20,54,4,4,0.2,33.16666667,-94.96666667,Red River
32,R1003,10200,4900,189000,0.02,39,112,8,11.2,0.205128205,32.61666667,-86.25,Mobile
33,R1004,9087,6000,146000,0.02,22,75,10,11,0.454545455,32.95,-86.51666667,Mobile
34,R1006,944,21000,1389000,1.42,66,245,15,24.6,0.227272727,33.93333333,-87.1,Mobile
35,R1007,5270,30200,550000,0.1,21,56,12,18.3,0.571428571,34.16666667,-85.75,Mobile
36,R1010,7770,15050,359600,0.03,24,70,6,16,0.25,33.4,-86.33333333,Mobile
37,R1021,2963,39000,1622000,0.48,42,143,20,25.3,0.476190476,32.66666667,-85.9,Mobile
38,R1023,9827,5850,172000,0.02,30,72,10,10.5,0.333333333,32.8,-86.43333333,Mobile
39,R1025,4830,1100,33000,0.01,30,50,30,4.3,1,33.2,-87.58333333,Mobile
40,R10001,1100,11860,368000,0.3,31,150,20,17.7,0.64516129,34.15,-84.71666667,Mobile
41,R24006,2,1200,9600,5.33,8,15,5,2,0.625,33.33333333,-88.71666667,Mobile
42,R24014,18,700,3500,0.5,5,25,1,1.6,0.2,33.5,-88.91666667,Mobile
43,R4001,1186,28220,1652000,1.69,58,216,15,19.1,0.25862069,36.41666667,-93.83333333,Arkansas
44,R4002,6051,45440,3048000,0.7,67,201,16,24.8,0.23880597,36.35,-92.56666667,Arkansas
45,R4004,74,525,12000,0.1,23,72,12,2.5,0.52173913,35.66666667,-94.15,Arkansas
46,R4006,1806,22000,1251000,0.85,57,177,18,18.3,0.315789474,36.23333333,-92.23333333,Arkansas
47,R4010,64,752,3760,0.06,5,20,1,2.8,0.2,35.25,-93,Arkansas
48,R4011,6,520,5500,2.5,13,40,2,8.4,0.153846154,35.21666667,-92.93333333,Arkansas
49,R4015,488,2910,25000,0.06,9,35,10,6.6,1.111111111,35.1,-93.65,Arkansas
50,R4019,9920,645,6507,0.17,12,27,2,4.3,0.166666667,36.05,-91.13333333,Arkansas
51,R4022,113,6700,40200,0.34,6,15,2,3.7,0.333333333,34.95,-92.4,Arkansas
52,R4023,153666,36000,486000,0.02,14,52,3,11.9,0.214285714,35.2,-93.11666667,Arkansas
53,R4030,1153,31500,1911000,1.51,61,221,15,11.1,0.245901639,35.51666667,-91.98333333,Arkansas
54,R4034,50,1300,15600,0.25,12,20,4,2.2,0.333333333,34.98333333,-92.76666667,Arkansas
55,R4039,120,8900,208000,2.7,23,50,3,5.3,0.130434783,34.85,-92.48333333,Arkansas
56,R4043,680,3550,29000,0.3,8,39,7,9.2,0.875,34.95,-93.15,Arkansas
